CVD_Lookback,ADX_Threshold,Stop_Loss,Take_Profit,RR_Ratio,EMA_Filter,SMA_Filter,Use_VWAP,Time_Window,Trailing_Stop,Total_Trades,Win_Rate,Profit_Factor,Total_PnL,Avg_Win,Avg_Loss,Sharpe_Ratio,Max_Drawdown,Max_Consec_Wins,Max_Consec_Losses,Long_Trades,Long_Win_Rate,Short_Trades,Short_Win_Rate,Total_Bars,Execution_Time_Ms
8,0,10,25,1:2.50,21,0,false,FullDay,false,139,31.65,1.08,3665,1134.72,-486.97,1.3,12.27,6,18,56,33.93,83,30.12,21390,3304
8,0,12,18,1:1.50,0,0,false,Morning,false,145,40,0.96,-1950,838.66,-581.52,-0.54,8.48,3,8,64,39.06,81,40.74,16610,2779
8,0,12,18,1:1.50,0,0,false,FullDay,false,155,37.42,0.86,-7650,840.17,-581.24,-2.46,12.66,3,6,68,36.76,87,37.93,21390,3349
8,0,12,18,1:1.50,21,0,false,Morning,false,145,40,0.96,-1950,838.66,-581.52,-0.54,8.48,3,8,64,39.06,81,40.74,16610,2976
8,0,12,18,1:1.50,21,0,false,FullDay,false,154,37.66,0.87,-7047.5,840.17,-581.02,-2.26,12.07,3,6,67,37.31,87,37.93,21390,3500
8,25,10,20,1:2.00,0,0,false,Morning,false,93,33.33,0.97,-745,935.4,-479.72,-0.23,5.19,3,6,43,37.21,50,30,16610,3936
8,25,10,20,1:2.00,0,0,false,FullDay,false,96,30.21,0.84,-5302.5,944.91,-488.13,-2.24,8.78,3,10,38,34.21,58,27.59,21390,4342
8,25,10,20,1:2.00,21,0,false,Morning,false,93,33.33,0.97,-745,935.4,-479.72,-0.23,5.19,3,6,43,37.21,50,30,16610,4004
8,25,10,20,1:2.00,21,0,false,FullDay,false,97,31.96,0.93,-2367.5,948.31,-481.29,-0.92,7.56,3,10,38,36.84,59,28.81,21390,4711
8,25,10,25,1:2.50,0,0,false,Morning,false,81,33.33,1.21,5285,1148.43,-476.34,2.25,6.02,4,12,37,35.14,44,31.82,16610,3672
8,25,10,25,1:2.50,0,0,false,FullDay,false,90,27.78,0.92,-2387.5,1166.5,-485.38,-0.85,9.45,3,19,35,28.57,55,27.27,21390,5247
8,25,10,25,1:2.50,21,0,false,Morning,false,81,33.33,1.21,5285,1148.43,-476.34,2.25,6.02,4,12,37,35.14,44,31.82,16610,4774
